iter	Passed	Remaining
1113	30836	245969
1114	30863	245941
1115	30890	245909
1116	30918	245883
1117	30945	245844
1118	30972	245817
1119	31000	245786
1120	31027	245760
1121	31055	245729
1122	31083	245703
1123	31111	245678
1124	31138	245647
1125	31166	245619
1126	31194	245596
1127	31222	245569
1128	31256	245591
1129	31288	245604
1130	31322	245620
1131	31353	245624
1132	31386	245632
1133	31414	245608
1134	31442	245580
1135	31469	245553
1136	31497	245521
1137	31524	245494
1138	31552	245469
1139	31580	245440
1140	31610	245429
1141	31637	245399
1142	31665	245369
1143	31692	245340
1144	31720	245316
1145	31752	245317
1146	31784	245323
1147	31812	245301
1148	31840	245273
1149	31867	245243
1150	31894	245210
1151	31923	245189
1152	31950	245157
1153	31977	245124
1154	32005	245094
1155	32032	245066
1156	32059	245035
1157	32088	245010
1158	32115	244982
1159	32143	244952
1160	32171	244928
1161	32198	244895
1162	32226	244871
1163	32254	244843
1164	32281	244811
1165	32308	244782
1166	32336	244752
1167	32364	244725
1168	32391	244697
1169	32419	244668
1170	32447	244641
1171	32474	244612
1172	32501	244581
1173	32529	244556
1174	32557	244530
1175	32585	244502
1176	32613	244476
1177	32641	244451
1178	32669	244424
1179	32696	244394
1180	32723	244360
1181	32750	244326
1182	32778	244298
1183	32806	244273
1184	32833	244245
1185	32861	244219
1186	32888	244186
1187	32916	244155
1188	32944	244129
1189	32972	244106
1190	32999	244077
1191	33026	244045
1192	33053	244011
1193	33080	243974
1194	33107	243942
1195	33134	243909
1196	33162	243881
1197	33189	243851
1198	33217	243822
1199	33244	243793
1200	33271	243761
1201	33298	243730
1202	33326	243704
1203	33355	243682
1204	33382	243651
1205	33410	243626
1206	33438	243600
1207	33465	243567
1208	33492	243535
1209	33520	243506
1210	33548	243479
1211	33575	243449
1212	33602	243419
1213	33630	243392
1214	33658	243363
1215	33685	243334
1216	33712	243302
1217	33742	243291
1218	33771	243270
1219	33798	243238
1220	33825	243209
1221	33853	243183
1222	33881	243155
1223	33909	243128
1224	33937	243106
1225	33965	243080
1226	33993	243050
1227	34020	243022
1228	34049	243001
1229	34076	242969
1230	34104	242941
1231	34131	242909
1232	34158	242879
1233	34186	242848
1234	34214	242824
1235	34241	242796
1236	34269	242764
1237	34296	242737
1238	34324	242711
1239	34353	242688
1240	34380	242659
1241	34408	242634
1242	34436	242604
1243	34463	242576
1244	34491	242551
1245	34519	242525
1246	34547	242496
1247	34575	242474
1248	34603	242443
1249	34630	242416
1250	34658	242384
1251	34684	242351
1252	34711	242318
1253	34739	242290
1254	34767	242265
1255	34795	242238
1256	34822	242206
1257	34849	242172
1258	34877	242145
1259	34904	242114
1260	34932	242087
1261	34959	242057
1262	34987	242032
1263	35015	242007
1264	35042	241976
1265	35070	241948
1266	35097	241917
1267	35125	241888
1268	35153	241860
1269	35180	241830
1270	35208	241805
1271	35236	241783
1272	35264	241751
1273	35295	241747
1274	35322	241716
1275	35349	241684
1276	35377	241660
1277	35405	241632
1278	35433	241609
1279	35460	241575
1280	35488	241548
1281	35516	241523
1282	35543	241491
1283	35570	241461
1284	35598	241435
1285	35626	241408
1286	35654	241379
1287	35682	241355
1288	35709	241325
1289	35737	241294
1290	35764	241262
1291	35791	241234
1292	35819	241206
1293	35847	241181
1294	35875	241152
1295	35901	241118
